material_id,M_element,Ru_fraction,M_fraction,nominal_formula,vacancy_site_index,vacancy_structure_file,predicted_energy_eV,backend,status
MAT_065,Fe,0.2,0.8,Ru0.20Fe0.80Ox,0,data\vacancies\MAT_065_vacancy_site0.cif,-294.68557483244274,uma-s-1p2,success
MAT_065,Fe,0.2,0.8,Ru0.20Fe0.80Ox,1,data\vacancies\MAT_065_vacancy_site1.cif,-296.51091695767826,uma-s-1p2,success
MAT_065,Fe,0.2,0.8,Ru0.20Fe0.80Ox,2,data\vacancies\MAT_065_vacancy_site2.cif,-294.6035739494031,uma-s-1p2,success
MAT_067,Co,0.8,0.1999999999999999,Ru0.80Co0.20Ox,0,data\vacancies\MAT_067_vacancy_site0.cif,-318.0645981500688,uma-s-1p2,success
MAT_067,Co,0.8,0.1999999999999999,Ru0.80Co0.20Ox,1,data\vacancies\MAT_067_vacancy_site1.cif,-318.39891666054604,uma-s-1p2,success
MAT_067,Co,0.8,0.1999999999999999,Ru0.80Co0.20Ox,2,data\vacancies\MAT_067_vacancy_site2.cif,-317.5485997412168,uma-s-1p2,success
MAT_068,Co,0.6,0.4,Ru0.60Co0.40Ox,0,data\vacancies\MAT_068_vacancy_site0.cif,-307.5102053469115,uma-s-1p2,success
MAT_068,Co,0.6,0.4,Ru0.60Co0.40Ox,1,data\vacancies\MAT_068_vacancy_site1.cif,-308.42840535417974,uma-s-1p2,success
MAT_068,Co,0.6,0.4,Ru0.60Co0.40Ox,2,data\vacancies\MAT_068_vacancy_site2.cif,-307.0114473856713,uma-s-1p2,success
MAT_069,Co,0.4,0.6,Ru0.40Co0.60Ox,0,data\vacancies\MAT_069_vacancy_site0.cif,-286.55301104604416,uma-s-1p2,success
MAT_069,Co,0.4,0.6,Ru0.40Co0.60Ox,1,data\vacancies\MAT_069_vacancy_site1.cif,-287.5126069525939,uma-s-1p2,success
MAT_069,Co,0.4,0.6,Ru0.40Co0.60Ox,2,data\vacancies\MAT_069_vacancy_site2.cif,-286.41010137379095,uma-s-1p2,success
MAT_070,Co,0.2,0.8,Ru0.20Co0.80Ox,0,data\vacancies\MAT_070_vacancy_site0.cif,-276.8983244955997,uma-s-1p2,success
MAT_070,Co,0.2,0.8,Ru0.20Co0.80Ox,1,data\vacancies\MAT_070_vacancy_site1.cif,-278.2532112709431,uma-s-1p2,success
